id,address_state,application_type,emp_length,emp_title,grade,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment
1077430,GA,INDIVIDUAL,< 1 year,Ryder,C,RENT,2/11/2021,9/13/2021,4/13/2021,Charged Off,5/13/2021,1314167,car,C4, 60 months,Source Verified,30000,0.010,59.83,0.153,2500,4,1009
1072053,CA,INDIVIDUAL,9 years,MKC Accounting,E,RENT,1/1/2021,12/14/2021,1/15/2021,Fully Paid,2/15/2021,1288686,car,E1, 36 months,Source Verified,48000,0.054,109.43,0.186,3000,4,3939
1069243,CA,INDIVIDUAL,4 years,Chemat Technology Inc,C,RENT,1/5/2021,12/12/2021,9/1/2021,Charged Off,2/9/2021,1304116,car,C5, 36 months,Not Verified,50000,0.209,421.65,0.16,12000,11,3522
1041756,TX,INDIVIDUAL,< 1 year,barnes distribution,B,MORTGAGE,2/25/2021,12/12/2021,12/3/2021,Fully Paid,4/12/2021,1272024,car,B2, 60 months,Source Verified,42000,0.054,97.06,0.107,4500,9,4911
1068350,IL,INDIVIDUAL,10+ years,J&J Steel Inc,A,MORTGAGE,1/1/2021,12/14/2021,1/15/2021,Fully Paid,2/15/2021,1302971,car,A1, 36 months,Verified,83000,0.023,106.53,0.06,3500,28,3835
1062608,CA,INDIVIDUAL,3 years,Studio 94 Corp,C,RENT,7/17/2021,3/16/2021,12/8/2021,Fully Paid,9/12/2021,1294481,car,C3, 36 months,Not Verified,28000,0.126,275.96,0.147,8000,11,8637
1067441,TX,INDIVIDUAL,10+ years,American Airlines,C,MORTGAGE,11/19/2021,6/14/2021,12/13/2021,Fully Paid,1/13/2022,1301833,car,C2, 36 months,Verified,94800,0.245,205.86,0.143,6000,30,7218
1066424,PA,INDIVIDUAL,10+ years,SCI Mahanoy,A,OWN,6/11/2021,7/14/2021,7/14/2021,Fully Paid,8/14/2021,1291243,car,A4, 36 months,Source Verified,59000,0.067,172.1,0.079,5500,23,6172
1065254,FL,INDIVIDUAL,10+ years,Tech Data Corp,A,MORTGAGE,9/2/2021,6/15/2021,12/10/2021,Charged Off,11/12/2021,1299335,car,A5, 36 months,Verified,116400,0.039,762.08,0.089,24000,31,8650
1064589,MI,INDIVIDUAL,10+ years,teltow contracting,B,MORTGAGE,2/9/2021,3/16/2021,3/16/2021,Fully Paid,4/16/2021,1298401,car,B5, 60 months,Not Verified,36000,0.177,93.21,0.127,4125,21,5551
1057766,TX,INDIVIDUAL,10+ years,Ericsson,B,MORTGAGE,7/22/2021,9/13/2021,8/13/2021,Fully Paid,9/13/2021,1289131,car,B5, 36 months,Not Verified,75000,0.088,181.15,0.127,5400,33,6277
1062734,CA,INDIVIDUAL,3 years,myrvpartsplace.com,B,RENT,9/11/2021,3/13/2021,12/10/2021,Charged Off,11/12/2021,1295018,car,B4, 36 months,Not Verified,75000,0.229,374.26,0.124,11200,13,4225
1062654,CA,INDIVIDUAL,4 years,AEG LIVE,B,RENT,8/11/2021,10/13/2021,9/13/2021,Fully Paid,10/13/2021,1294929,car,B3, 36 months,Not Verified,35000,0.040,165.38,0.117,5000,3,5728
1020855,CA,INDIVIDUAL,5 years,henkel corporation,B,RENT,12/11/2021,12/14/2021,12/14/2021,Fully Paid,1/14/2022,1249642,car,B5, 36 months,Not Verified,48000,0.153,268.36,0.127,8000,15,9661
1060945,IL,INDIVIDUAL,4 years,AXA Assistance,B,RENT,10/11/2021,12/14/2021,12/14/2021,Fully Paid,1/14/2022,1293124,car,B4, 36 months,Not Verified,92000,0.106,200.5,0.124,6000,18,7218
1060995,RI,INDIVIDUAL,< 1 year,HSA-UWC,B,RENT,12/11/2021,2/14/2021,10/13/2021,Charged Off,11/13/2021,1292578,car,B4, 36 months,Source Verified,60000,0.063,400.99,0.124,12000,14,9547
1046507,TX,INDIVIDUAL,1 year,Child's Day,B,RENT,12/2/2021,4/16/2021,12/14/2021,Fully Paid,1/14/2022,1277552,car,B1, 36 months,Verified,16800,0.035,98.29,0.099,3050,8,3538
1059936,NY,INDIVIDUAL,4 years,OEC Freight,C,RENT,10/9/2021,9/15/2021,12/11/2021,Fully Paid,12/12/2021,1291775,car,C2, 36 months,Source Verified,40000,0.187,343.09,0.143,10000,7,11156
